Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
93,"Unique Opportunity, Jack's Point Village","Clubhouse Lane, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-4.507704,168.741339,Clubhouse Lane,2.0,2.0,2.0,0.0,0.0,none
94,Home/Investment Opportunity,"2 Walton Way, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.005904,168.765267,2 Walton Way,5.0,2.0,4.0,159.2,429.0,none
95,Top views in Top Lane,"14 Top Lane, Goldfield Heights, Queenstown-Lakes",Goldfield Heights,Queenstown-Lakes,-45.021182,168.697939,14 Top Lane,4.0,3.0,0.0,130.2,0.0,1349000.0
96,Spur Ridge home and income,"110 Spur Ridge Rise, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.065865,168.753205,110 Spur Ridge Rise,4.0,3.0,2.0,202.2,508.0,none
97,Ripe for Renovation or Rebuild,"26 McBride Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.017551,168.731319,26 McBride Street,5.0,2.0,6.0,210.2,809.0,none
98,Owner On The Move - Must be SOLD,"17 Sandford Terrace, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.008962,168.777186,17 Sandford Terrace,4.0,2.0,6.0,187.2,1647.0,1369000.0
99,Popular Marina Apartment,"306/875 Frankton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.017014,168.717922,306/875 Frankton Road,3.0,3.0,2.0,132.2,0.0,1385000.0
100,Seriously For Sale,"37 Berkshire Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.942117,168.828426,37 Berkshire Street,4.0,2.0,2.0,140.2,683.0,none
101,"4 BED 4 BATH HOME - 6 CAR GARAGE - $1,400,000 +gst","87-89 OBAN STREET, Glenorchy, Queenstown-Lakes",Glenorchy,Queenstown-Lakes,-44.851361,168.388593,87-89 OBAN STREET,4.0,4.0,6.0,192.2,0.0,1400000.0
102,Looking for a renovation project?,"94 Thompson Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035745,168.646294,94 Thompson Street,2.0,1.0,1.0,160.2,830.0,none
103,Some Secrets Should be Shared!,"1B Highview Terrace, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.030068,168.682602,1B Highview Terrace,3.0,2.0,3.0,120.2,0.0,none
104,Holiday at home,"4/68 Andrews Road , Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.026575,168.691576,4/68 Andrews Road,4.0,3.0,2.0,174.2,0.0,none
105,Sellers Purchased Elsewhere! Sold Sticker Required,"69 Toni's Terrace, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.006334,168.768504,69 Toni's Terrace,4.0,3.0,4.0,216.2,747.0,none
106,Build your dream home!,"90 Thompson Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.035745,168.646294,90 Thompson Street,4.0,1.0,1.0,100.2,600.0,none
107,Hanley's Farm Turnkey Home and Income Packages,"8 Corriedale, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-4.506555,168.750986,8 Corriedale,4.0,3.0,2.0,187.2,350.0,1445000.0
108,Not your standard Hanley's Farm home!,"55 Muster Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.067947,168.751231,55 Muster Road,5.0,3.0,2.0,206.2,1120.0,none
109,Prepare to be very impressed!,"13 Woolshed Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.067115,168.743611,13 Woolshed Road,4.0,3.0,5.0,213.2,375.0,none
110,Make the move to Jack's Point,"6 Appin Court, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.073577,168.748791,6 Appin Court,3.0,3.0,2.0,193.2,687.0,none
111,Vacant and ready for its new owner!,"75 Centennial Avenue, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.949046,168.841414,75 Centennial Avenue,3.0,2.0,4.0,150.2,580.0,1460000.0
